work_id,name,artist_id,style,museum_id
24068,"River Scene",592,Baroque,43
24070,"Rooster and Hens",592,Baroque,NULL
164850,"Senior Merchant",592,Baroque,43
24072,"Starting for the Hunt",592,Baroque,35
198873,"The Flight into Egypt",592,Baroque,60
24074,"The Maas at Dordrecht",592,Baroque,46
24078,"The Passage Boat",592,Baroque,NULL
204794,"Travelers in Hilly Countryside",592,Baroque,53
164862,"View of Dordrecht at Sunset",592,Baroque,43
198863,"View of the Maas near Dordrecht",592,Baroque,60
24084,"Young Herdsmen with Cows",592,Baroque,35
29914,"Bouquet of Roses and Fruit",659,Expressionism,35
126089,"Bouquet of Roses",659,Expressionism,NULL
126219,"Bridge Over the Seine in Paris",659,Expressionism,NULL
126208,"Buses, Place Pigalle",659,Expressionism,NULL
29916,"Compote of Peaches and Pears, with Pitchers, on a Table",659,Expressionism,35
126109,Dahlias,659,Expressionism,NULL
126164,"Flower Vase and Fruits",659,Expressionism,NULL
126175,"In the Park, Edge of the Seine",659,Expressionism,NULL
126186,"Lady Reading",659,Expressionism,NULL
126285,"Old Lady in White Seated",659,Expressionism,NULL
126230,"Reading at the Garden",659,Expressionism,NULL
29918,"Renoir and His Model",659,Expressionism,35
29920,"Renoir Painting His Family in His Studio at 73 Rue De Caulaincourt, Paris",659,Expressionism,NULL
126294,"Roses in a Glass",659,Expressionism,NULL
126120,"Seated Woman",659,Expressionism,NULL
126241,"Still Life",659,Expressionism,NULL
29922,"Still Life with Fruit and Brioche",659,Expressionism,35
29924,"Table Setting with Fruit",659,Expressionism,35
126263,"The Artist's Studio, A Still Life",659,Expressionism,NULL
126252,"The Artist's Studio",659,Expressionism,NULL
126131,"The Bouquet (View from the Artist’s Studio, Paris)",659,Expressionism,NULL
126197,"The Dock of Grenelle, Paris",659,Expressionism,NULL
126153,"Vase of Flower by the Window",659,Expressionism,NULL
126274,"Vase of Flowers and Fruits on the Table",659,Expressionism,NULL
126142,"White Vase with Flowers",659,Expressionism,NULL
5093,"A River Landscape, Westphalia",712,"American Landscape",NULL
5095,"A Storm in the Rocky Mountains, Mt. Rosalie",712,"American Landscape",NULL
5097,"A Wild Stallion",712,"American Landscape",NULL
5099,"Among the Sierra Nevada Mountains, California",712,"American Landscape",NULL
5101,"Autumn Landscape",712,"American Landscape",NULL
5103,"Beached Ship",712,"American Landscape",NULL
5105,"California Spring",712,"American Landscape",NULL
5109,"Canadian Rockies, Lake Louise",712,"American Landscape",35
185353,"Canadian Rockies",712,"American Landscape",NULL
5111,"Cathedral Rocks, Yosemite Valley, California",712,"American Landscape",NULL
5115,"Deer in a Field",712,"American Landscape",NULL
5113,Deer,712,"American Landscape",NULL
5117,"Estes Park, Colorado, Whyte's Lake",712,"American Landscape",NULL
5119,"Farallon Island",712,"American Landscape",NULL
5121,"Fishing Boats",712,"American Landscape",NULL
185266,"Fishing Boats at Capri",712,"American Landscape",NULL
5125,"Glen Ellis Falls",712,"American Landscape",NULL
5127,"Hetch Hetchy Canyon",712,"American Landscape",NULL
5129,"In the Foothills",712,"American Landscape",NULL
185308,"In the High Mountains",712,"American Landscape",NULL
5133,"In the Mountains",712,"American Landscape",NULL
5135,"In the Sierras, Lake Tahoe",712,"American Landscape",NULL
5137,"Indian Canoe",712,"American Landscape",NULL
185317,"Indian Encampment Evening",712,"American Landscape",NULL
5141,"Indian Hunters in Canoe",712,"American Landscape",NULL
5143,"Indians Spear Fishing",712,"American Landscape",NULL
5155,"Lake Tahoe",712,"American Landscape",NULL
5161,"Liberty Cam, Yosemite",712,"American Landscape",NULL
5163,"Light in the Forest",712,"American Landscape",NULL
5221,"Bighorn Ram",712,"American Landscape",NULL
126522,"Against the Light, Algiers",559,Post-Impressionism,NULL
126533,"Algiers, Gray Weather",559,Post-Impressionism,NULL
126307,"Algiers, The City seen from the Heights",559,Post-Impressionism,NULL
126324,"Algiers, View of Mustapha, Rain",559,Post-Impressionism,NULL
129073,"Algiers, View of the Casbah",559,Post-Impressionism,NULL
126335,"Amsterdam, Snow",559,Post-Impressionism,NULL
128992,"Anglers, La Chaume",559,Post-Impressionism,NULL
126346,"Arcueil, the Factory and the Aqueduct",559,Post-Impressionism,NULL
128791,Ares,559,Post-Impressionism,NULL
126357,"Audierne, The Tonneaux",559,Post-Impressionism,NULL
128800,"Banks of the Seine, Paris",559,Post-Impressionism,NULL
126401,"Bassin du Roy (Le Havre, France, Normandy)",559,Post-Impressionism,NULL
126368,"Bay of Algiers View of El-Biar",559,Post-Impressionism,NULL
126379,"Boats in Ciboure",559,Post-Impressionism,NULL
126390,"Boats in Collioure, Gray Weather",559,Post-Impressionism,NULL
126434,"Boats in the Port",559,Post-Impressionism,NULL
126423,"Boats in Triel",559,Post-Impressionism,NULL
126489,"Breeze in Porquerolles",559,Post-Impressionism,NULL
126500,"Calm Flat",559,Post-Impressionism,NULL
128836,"Cargo at Dock",559,Post-Impressionism,NULL
126511,"Cargo Leaving the Port",559,Post-Impressionism,NULL
128307,"Clouds and Smoke",559,Post-Impressionism,NULL
128615,"Cloudy Weather in Algiers",559,Post-Impressionism,NULL
126555,"Crans-sur-Sierre, Sledding",559,Post-Impressionism,NULL
126566,"Cypress and Trees in Bloom",559,Post-Impressionism,NULL
127545,Daisies,559,Post-Impressionism,NULL
126577,"Davos Under the Snow",559,Post-Impressionism,NULL
128461,"Dock of Bourbon, Paris",559,Post-Impressionism,NULL
128472,"Dock of Grands Augustins, Paris",559,Post-Impressionism,NULL
128483,"Dock of Grands-Augustins, Under the Snow",559,Post-Impressionism,NULL
25861,"Burkhard of Speyer",548,Renaissance,NULL
25863,"Christ Among the Doctors",548,Renaissance,56
25869,"Lot and His Daughters",548,Renaissance,46
25871,"Madonna and Child (Haller Madonna)",548,Renaissance,46
25873,"Penitent Saint Jerome",548,Renaissance,47
25875,"Portrait of a Clergyman",548,Renaissance,46
25879,"Portrait of a Woman, Said to Be Caritas Pirckheimer",548,Renaissance,35
25882,"Portrait of a Young Venetian Woman",548,Renaissance,NULL
25884,"Portrait of Barbara Durer",548,Renaissance,NULL
25888,"Portrait of Durer's Father at 70",548,Renaissance,47
25890,"Portrait of Emperor Maximillian I",548,Renaissance,NULL
25892,"Portrait of Hieronymus Holzschuher",548,Renaissance,NULL
25894,"Portrait of Jakob Muffel",548,Renaissance,NULL
25900,Self-Portrait,548,Renaissance,NULL
25902,"Self-Portrait in a Fur Coat",548,Renaissance,NULL
25904,"Self-Portrait with Gloves",548,Renaissance,50
25906,"St. Anne with the Virgin and Child",548,Renaissance,35
25908,"The Virgin and Child (The Madonna with the Iris)",548,Renaissance,47
25910,"The Virgin Mary in Prayer",548,Renaissance,NULL
25912,Vanitas,548,Renaissance,NULL
25914,"Virgin and Child",548,Renaissance,NULL
23540,Albayde,501,Classicism,NULL
23542,"Birth of Venus",501,Classicism,49
23544,Echo,501,Classicism,35
23546,"La Chiaruccia",501,Classicism,NULL
23548,"Napoleon III",501,Classicism,NULL
23550,"Olivia Peyton Murray Cutting",501,Classicism,NULL
23552,"Portrait of Alfred Bruyas",501,Classicism,NULL
23554,"Portrait of an Arab",501,Classicism,NULL
23556,"Portrait of Catharine Lorillard Wolfe",501,Classicism,35
23558,"Rebecca et Eliezer",501,Classicism,NULL
23560,"Saint Jean-Baptiste",501,Classicism,NULL
23562,"The Governess",501,Classicism,67
23564,"The Roman Monk",501,Classicism,NULL
29948,"Head of a Woman",708,Expressionism,NULL
29950,"Head of a Young Man (Called Hercules)",708,Expressionism,NULL
29952,Hills,708,Expressionism,NULL
29954,"Mediterranean Coast",708,Expressionism,NULL
29956,Schokko,708,Expressionism,NULL
29958,Solitude,708,Expressionism,NULL
29960,"Spaneteru Mit Roten Schal",708,Expressionism,NULL
29962,"Still Life with Vase and Jug",708,Expressionism,NULL
29964,"Young Girl with a Flowered Hat",708,Expressionism,NULL
28801,Rye,808,NULL,NULL
28803,"The Perchorskiy Cloister Near Nizniy Novgorod",808,NULL,NULL
28805,"The Rooks Have Returned",808,NULL,NULL
28807,Winter,808,NULL,NULL
22578,"A Girl",534,Avant-Garde,NULL
22579,"Abstract Portrait",534,Avant-Garde,NULL
22580,"Abstract Still Life",534,Avant-Garde,NULL
22581,"Cubist Still Life",534,Avant-Garde,NULL
22582,"Cubist Twin Heads",534,Avant-Garde,NULL
22583,Eugenia,534,Avant-Garde,NULL
22584,"Fauve Landscape with Rolling Hills",534,Avant-Garde,NULL
22585,"Figure in Landscape",534,Avant-Garde,NULL
195399,"Figure on Bench",534,Avant-Garde,51
22586,Flappers,534,Avant-Garde,NULL
22587,"Floral Still Life",534,Avant-Garde,NULL
22588,"Flowers in a Vase",534,Avant-Garde,NULL
22589,"Four Sisters",534,Avant-Garde,NULL
22590,"Head of a Girl",534,Avant-Garde,NULL
195446,Hills,534,Avant-Garde,51
22591,"La Dame en Blanc",534,Avant-Garde,NULL
22592,Landscape,534,Avant-Garde,NULL
22593,"Landscape II",534,Avant-Garde,NULL
22594,"Landscape III",534,Avant-Garde,NULL
22595,"Landscape of Provence",534,Avant-Garde,NULL
195410,"Landscape with House",534,Avant-Garde,51
22596,"Landscape with Trees (Marlboro Landscape)",534,Avant-Garde,NULL
22597,"Landscape with Two Trees",534,Avant-Garde,NULL
22598,"Marlboro Landscape (House in Hills)",534,Avant-Garde,NULL
22599,"Nude Reading",534,Avant-Garde,NULL
22600,"Portrait of a Woman",534,Avant-Garde,NULL
22601,"Portrait of a Young Girl",534,Avant-Garde,NULL
22602,"Standing Female Nude",534,Avant-Garde,NULL
22603,"Still Life",534,Avant-Garde,NULL
195421,"Still Life",534,Avant-Garde,51
6877,"A Corner of Wood in the Sablons",573,Impressionism,49
209013,"A Path at Les Sablons",573,Impressionism,NULL
208485,"A Turn in the Road",573,Impressionism,68
6713,"Abandoned House",573,Impressionism,NULL
6715,"Among the Vines, Louveciennes",573,Impressionism,NULL
6879,"An Evening in Moret",573,Impressionism,NULL
6717,"Aqueduct at Marly",573,Impressionism,NULL
6719,"Autumn, Banks of the Seine Near Bougival",573,Impressionism,NULL
6723,"Banks of the Loing, Autumn Effect",573,Impressionism,NULL
208575,"Banks of the Loing River",573,Impressionism,67
6725,"Banks of the Loing, Saint-Mammès",573,Impressionism,NULL
6721,"Banks of the Loing",573,Impressionism,NULL
23049,"The Island of Life",549,Symbolism,NULL
23051,"The Island of the Dead",549,Symbolism,NULL
23053,"Two Fishing Pans",549,Symbolism,NULL
30146,"A Measure of Dreams",864,Symbolism,NULL
30148,"Autumn, Enchanted Salutation",864,Symbolism,67
184585,"Breathing Sacrifice",864,Symbolism,NULL
184558,"Daughter of Persephone",864,Symbolism,NULL
184592,"Evening Among the Ruins",864,Symbolism,NULL
184613,"Eyelids of the Sunset",864,Symbolism,NULL
184599,"Figures in a Mohawk Landscape",864,Symbolism,NULL
30150,"Italian Hill Town",864,Symbolism,35
30152,"Landscape with Cows",864,Symbolism,35
184606,"Midsummer Evening",864,Symbolism,NULL
199701,"Pastoral Dells and Peaks",864,Symbolism,60
184567,"Shy as a Rabbit",864,Symbolism,NULL
184622,"Standing Nude",864,Symbolism,NULL
184576,"The Bather",864,Symbolism,NULL
30154,"Unicorns (Legend Sea Calm)",864,Symbolism,35
31640,"A Good Chance",641,Naturalism,NULL
31644,"A Slight Chance (A Good Chance)",641,Naturalism,NULL
31646,"American Frontier Life",641,Naturalism,NULL
31648,"An Anxious Moment",641,Naturalism,NULL
31650,"Baby Chicks",641,Naturalism,NULL
31652,"Buck in the Forest",641,Naturalism,NULL
31654,Chicks,641,Naturalism,NULL
31656,"Cocker Spaniel and Ruffled Grouse",641,Naturalism,NULL
31658,"Dead Game",641,Naturalism,NULL
31660,"Doe and Two Fawns",641,Naturalism,35
31664,"Duck Shooting, Some of the Right Sort",641,Naturalism,NULL
31662,"Duck Shooting",641,Naturalism,NULL
31666,"Flushing Grouse, Long Lake, Hamilton County, New York",641,Naturalism,NULL
31668,Fowls,641,Naturalism,NULL
31670,"Hen Quail and Chickens",641,Naturalism,NULL
31672,"Maternal Anxiety",641,Naturalism,NULL
206544,"Maternal Solicitude",641,Naturalism,53
31674,"Maternal Solicitude",641,Naturalism,NULL
31676,"On Point",641,Naturalism,35
31678,"On the Alert",641,Naturalism,NULL
31680,"Pair Ruffed Grouse and Young",641,Naturalism,NULL
31684,"Quail and Young",641,Naturalism,NULL
31686,"Quail Shooting The Point",641,Naturalism,NULL
31682,Quail,641,Naturalism,NULL
31688,"Rabbits on a Log",641,Naturalism,35
31690,"Shooting From Ambush",641,Naturalism,NULL
31692,"Steady, Woodcock Shooting",641,Naturalism,NULL
31694,"Still Life with Game",641,Naturalism,NULL
31698,"The Forest, Adirondacks",641,Naturalism,NULL
31700,"The Life of a Hunter: A Tight Fix",641,Naturalism,NULL
29726,"A Summer Afternoon",520,"American Art",35
29728,"A View of the Valley",520,"American Art",35
29730,Ariadne,520,"American Art",35
29732,"High Point, Shandaken Mountains",520,"American Art",35
29734,"In the Woods",520,"American Art",35
29736,"Kaaterskill Clove",520,"American Art",NULL
29738,"Kindred Spirits",520,"American Art",NULL
29740,"Landscape Scene From Thanatopsis",520,"American Art",35
29742,"Luman Reed",520,"American Art",35
29744,"Mrs. Winfield Scott",520,"American Art",35
29746,"Pastoral Landscape",520,"American Art",46
27185,"The Harbor at Lorient",769,Impressionism,46
29748,"River Scene",520,"American Art",35
204869,"Sarah Eliot Scoville",520,"American Art",53
27187,"The Mother and Sister of the Artist",769,Impressionism,46
27189,"The Port of Nice",769,Impressionism,NULL
27191,"The Psyche (The Cheval Glass)",769,Impressionism,56
29750,"Sunday Morning",520,"American Art",35
27193,"Two Girls",769,Impressionism,NULL
29752,"The Beeches",520,"American Art",35
27195,"Winter (Woman with a Muff)",769,Impressionism,NULL
29754,"The First Harvest in the Wilderness",520,"American Art",NULL
27113,"Delphic Sibyl",865,Renaissance,NULL
27115,"Erithraiesche Sibylle",865,Renaissance,NULL
29756,"The Indian's Vespers",520,"American Art",NULL
204860,"Trees on a Rocky Hillside",520,"American Art",53
27117,Ezekiel,865,Renaissance,NULL
27347,"Anglers on the Rhine",504,Expressionism,NULL
27119,Ignudo,865,Renaissance,NULL
27349,"Before the Hat Shop",504,Expressionism,NULL
27351,"Blond Girl with Doll",504,Expressionism,NULL
27121,Jesaja,865,Renaissance,NULL
27353,"Cathedral at Freiburg, Switzerland",504,Expressionism,NULL
27127,"Libyan Sibyl",865,Renaissance,NULL
27355,"Children at the Pump",504,Expressionism,NULL
27129,"The Creation of Man",865,Renaissance,NULL
27357,"Children with Goat",504,Expressionism,NULL
27131,"The Entombment",865,Renaissance,47
27359,Circus,504,Expressionism,56
27135,"The Manchester Madonna",865,Renaissance,47
160348,"A Young Woman Warming Her Hands Over a Brazier",768,Baroque,43
160356,"Elisabeth Van Kessel (1640-1717), Wife of Willem Jacobsz Baert",768,Baroque,43
160925,"Girl in a Large Hat",768,Baroque,43
27361,"Colored Composition",504,Expressionism,NULL
160364,"Pan and Syrinx",768,Baroque,43
157116,"Vertumnus and Pomona",768,Baroque,55
160743,"Willem Jacobsz Baert (1636-84), Burgomaster of Alkmaar and Amsterdam",768,Baroque,43
160372,"Woman Praying",768,Baroque,43
30172,"A Nude Woman Sitting",799,Avant-Garde,NULL
30174,"An Old Mansion in Perigueux",799,Avant-Garde,NULL
30176,"At the Bar",799,Avant-Garde,NULL
30178,"At the Brothel",799,Avant-Garde,NULL
30180,"Mario Fratellino and Little Walter",799,Avant-Garde,NULL
30182,Nude,799,Avant-Garde,NULL
30184,"The Athlete",799,Avant-Garde,NULL
6018,"A Cowherd at Valhermeil, Auvers-sur-Oise",531,Impressionism,35
6020,"A Creek with Palm Trees",531,Impressionism,46
202259,"A Path in the Woods, Pontoise",531,Impressionism,NULL
6022,"A Washerwoman at Éragny",531,Impressionism,35
6024,"Afternoon Sunshine, Pont Neuf",531,Impressionism,67
6026,"Apple Harvest at Éragny",531,Impressionism,NULL
6028,"Apple Picking",531,Impressionism,NULL
6030,"Apple Tree in the Meadow, Éragny",531,Impressionism,67
6206,"Apple Trees and Tedders, Éragny",531,Impressionism,NULL
6032,"Autumn, Poplars, Éragny",531,Impressionism,NULL
6034,"Avenue de l'Opéra: Morning Sunshine",531,Impressionism,67
6036,"Avenue de l'Opéra, Snow Effect",531,Impressionism,31
6038,"Banks of the Oise at Pontoise",531,Impressionism,NULL
6040,"Banks of the Oise, the Countryside Near Pontoise",531,Impressionism,NULL
6042,"Barges at Pontoise",531,Impressionism,35
6044,"Bather in the Woods",531,Impressionism,35
6046,"Boulevard des Italiens, Morning, Sunlight",531,Impressionism,46
6050,"Boulevard Montmartre, Afternoon Sunlight",531,Impressionism,34
6052,"Boulevard Montmartre, Morning, Cloudy Weather",531,Impressionism,NULL
6054,"Boulevard Montmartre, Night Effect",531,Impressionism,47
6056,"Boulevard Montmartre, Spring",531,Impressionism,NULL
6058,"Boulevard Montmartre, Winter Morning",531,Impressionism,35
6200,"Carrousel Square, Paris",531,Impressionism,46
6198,"Characters Chatting by a Path",531,Impressionism,NULL
6062,"Charing Cross Bridge, London",531,Impressionism,46
6074,"Children Seated in the Garden at Éragny",531,Impressionism,NULL
6064,"Cliffs at Petites-Dalles",531,Impressionism,NULL
6066,Conversation,531,Impressionism,NULL
6068,"Côte des Grouettes, Near Pontoise",531,Impressionism,35
6070,"Cove with Sailboat",531,Impressionism,NULL
24159,"A Regatta on the Grand Canal",561,Rococo,NULL
24161,"Arrival of the French Ambassador in Venice",561,Rococo,34
24163,"Campo di Rialto",561,Rococo,NULL
24167,"Capriccio, River Landscape with a Column, a Ruined Roman Arch, and Reminiscences of England",561,Rococo,46
24171,"Capriccio, Ruins and Classic Buildings",561,Rococo,55
24177,"Capriccio, The Horses of S. Marco in the Piazzetta",561,Rococo,NULL
24179,"Capriccio with a View of the Thames and St. Paul's",561,Rococo,NULL
24185,"Entrance of the Grand Canal, from the West End of the Molo",561,Rococo,46
24187,"Entrance to the Grand Canal, from the Piazzetta",561,Rococo,NULL
24189,"Entrance to the Grand Canal, Looking West",561,Rococo,NULL
24197,"Grand Canal, Looking South-West from the Palazzo Grimani to the Palazzo Foscari",561,Rococo,NULL
198595,"Grand Canal San Geremia and the Entrance to the Cannaregio",561,Rococo,51
119315,"Grand Canal, San Geremia and the Entrance to the Cannaregio",561,Rococo,NULL
24205,"Greenwich Hospital from the North Bank of the Thames",561,Rococo,NULL
24215,"London, The Thames and the City of London from Richmond House",561,Rococo,NULL
24223,"London, Westminster Bridge from the North on Lord Mayor's Day",561,Rococo,NULL
24227,"London, Whitehall and the Privy Garden from Richmond House",561,Rococo,NULL
24235,"Piazza San Marco Looking South and West",561,Rococo,60
24237,"Piazza San Marco, Looking Southeast",561,Rococo,46
24241,"Piazza San Marco with the Basilica",561,Rococo,NULL
24243,"Reception of the Ambassador in the Doge's Palace",561,Rococo,NULL
24247,"Rome, Ruins of the Forum, Looking Towards the Capital",561,Rococo,NULL
24251,"Rome, The Arch of Titus",561,Rococo,NULL
24255,"S. Maria Zobenigo",561,Rococo,NULL
119288,"San Geremia and the Entrance to the Cannaregio",561,Rococo,47
119190,"Santa Maria Della Salute",561,Rococo,NULL
119325,"St. Paul's Cathedral",561,Rococo,47
119220,"The Bucintoro Returning to the Molo on Ascension Day",561,Rococo,NULL
119238,"The Canal Grande",561,Rococo,47
24271,"The Grand Canal from Campo S. Vio towards the Bacino",561,Rococo,NULL
23452,"Alof de Vignacourt and His Page",870,Baroque,40
23454,"Amor Victorious",870,Baroque,NULL
23458,"Boy Bitten by a Lizard",870,Baroque,NULL
27363,"Coloured Form Composition",504,Expressionism,NULL
27365,"Couple at the Garden Table",504,Expressionism,NULL
23460,"Boy with a Basket of Fruit",870,Baroque,NULL
27367,"Couple in the Forest",504,Expressionism,NULL
23462,"Christ at the Column",870,Baroque,NULL
27369,"Couple on the Forest Track",504,Expressionism,NULL
23464,"Conversion on the Way to Damascus",870,Baroque,NULL
27371,"Elizabeth Reading",504,Expressionism,NULL
23466,"David and Goliath",870,Baroque,50
27373,"Fashion Shop (Modegeschaft)",504,Expressionism,36
23468,"David with the Head of Goliath",870,Baroque,NULL
27375,"Fashion Window",504,Expressionism,NULL
23470,"Ecce Homo",870,Baroque,NULL
27377,"Four Girls",504,Expressionism,NULL
23474,"John the Baptist",870,Baroque,NULL
27379,"Garden Beside the Lake",504,Expressionism,NULL
23472,"John the Baptist",870,Baroque,NULL
23476,"Judith Beheading Holofernes",870,Baroque,NULL
23478,"Madonna with the Serpent",870,Baroque,NULL
27381,"Garden Image",504,Expressionism,NULL
23480,"Martha and Mary Magdalene",870,Baroque,NULL
128845,Narcissus,870,Baroque,NULL
23484,"Portrait of Pope Urban VIII (Maffeo Barberini)",870,Baroque,NULL
23486,"Rest on the Flight into Egypt",870,Baroque,NULL
27383,"Garden Restaurant",504,Expressionism,NULL
23488,"Saint Catherine of Alexandria",870,Baroque,56
27385,"Girl with Fish Bell",504,Expressionism,NULL
23490,"Saint Francis in Prayer",870,Baroque,NULL
27389,"Girls Bathing with Town in Background",504,Expressionism,NULL
23498,"Saint Gerome Writing",870,Baroque,NULL
27387,"Girls Bathing",504,Expressionism,NULL
23492,"Saint Jerome in His Study",870,Baroque,NULL
27391,"Girls Under Trees",504,Expressionism,NULL
23494,"Saint Jerome Penitent",870,Baroque,NULL
27395,"Hat Shop on the Promenade",504,Expressionism,NULL
23500,"Saint John the Baptist",870,Baroque,NULL
27393,"Hat Shop",504,Expressionism,36
27397,"Hussars on a Sortie",504,Expressionism,56
23863,"Salome Receives the Head of Saint John the Baptist",870,Baroque,47
27399,"Landscape on the Teggernsee with a Reading Man",504,Expressionism,NULL
23502,"Supper at Emmaus",870,Baroque,NULL
